# Test results for rooting positions on every branch
# This file can be read in MS Excel or in R with command:
#    dat=read.csv('nonrev_aa_roottest.roottest.csv',comment.char='#')
# Columns are comma-separated with following meanings:
#    ID:      Branch ID
#    logL:    Log-likelihood of the tree rooted at this branch
#    deltaL:  logL difference from the maximal logl
#    bp-RELL: bootstrap proportion using RELL method (Kishino et al. 1990)
#    p-KH:    p-value of one sided Kishino-Hasegawa test (1989)
#    p-SH:    p-value of Shimodaira-Hasegawa test (2000)
#    c-ELW:   Expected Likelihood Weight (Strimmer & Rambaut 2002)
#    p-AU:    p-value of approximately unbiased (AU) test (Shimodaira, 2002)
ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU
74,-32200.73805,19.29619873,0,0,0.013,1.145314945e-06,0.0204301614
197,-32200.73887,19.29702121,0,0,0.013,1.205786982e-06,0.03182052794
578,-32200.81544,19.37358984,0,0,0.019,5.042925237e-06,0.04438606718
294,-32200.82615,19.38429359,0,0,0.011,5.211892855e-07,0.285784338
295,-32200.82805,19.38619665,0,0,0.011,5.164817724e-07,0.2540980717
376,-32200.82878,19.38692643,0,0,0.011,5.175610556e-07,0.2771839267
600,-32200.86204,19.42019119,0,0,0.019,6.480589068e-06,0.03866106122
579,-32200.86209,19.42024126,0,0,0.019,6.478964273e-06,0.03874544474
576,-32200.87973,19.43787385,0,0,0.017,1.604808782e-06,0.1035102772
511,-32200.91658,19.47472462,0,0.002,0.039,1.130327563e-05,0.02740821272
510,-32200.92543,19.48357485,0,0.002,0.039,1.089446534e-05,0.02571137082
520,-32200.92558,19.48372899,0,0.002,0.039,1.089403645e-05,0.02571074631
619,-32200.99878,19.55692973,0,0,0.013,9.765355493e-07,0.04274462582
577,-32201.01531,19.57345363,0,0,0.018,3.40674347e-06,9.42694895e-82
607,-32201.01559,19.57373886,0,0,0.018,3.405003543e-06,5.527078845e-60
298,-32201.01857,19.57671761,0,0,0.026,1.287096354e-05,0.05275750693
622,-32201.03915,19.59729634,0,0,0.027,1.661120514e-06,0.01678577414
621,-32201.14948,19.70762366,0,0,0.023,1.605350177e-06,0.01998515136
530,-32201.17588,19.73402335,0,0.002,0.035,9.89214362e-05,0.06049311961
531,-32201.17596,19.73411165,0,0.002,0.035,9.891360269e-05,0.06050857156
555,-32201.18091,19.73905944,0,0.001,0.035,5.466924636e-05,1.821310752e-123
817,-32201.1898,19.74794558,0,0.002,0.022,2.201383777e-06,0.001438828737
293,-32201.31924,19.87738519,0,0,0.011,4.060099648e-06,8.130102727e-26
554,-32201.33777,19.89591778,0,0.001,0.036,4.660495092e-05,0.01458621617
593,-32201.35497,19.91311605,0,0,0.023,8.013346546e-06,0.06668763439
595,-32201.35502,19.91317002,0,0,0.023,7.988412096e-06,0.06764674491
594,-32201.35507,19.91321987,0,0,0.023,7.98828623e-06,0.06778380697
618,-32201.38706,19.94521163,0,0,0.017,2.8635132e-06,1.499472877e-38
151,-32201.40464,19.9627831,0,0,0.019,1.906769293e-05,0.01366006712
198,-32201.43068,19.98882798,0,0,0.012,2.166460009e-06,1.070946371e-18
580,-32201.49032,20.04846826,0,0,0.023,5.745120578e-06,0.07367403826
581,-32201.57518,20.1333292,0,0,0.022,5.297167785e-06,0.07485245131
199,-32201.6302,20.18834684,0,0,0.013,2.190109881e-06,8.229377993e-29
292,-32201.63132,20.18946829,0,0,0.013,2.164971248e-06,1.901698287e-33
152,-32201.69658,20.25472628,0,0,0.022,3.854759179e-05,0.008326979473
818,-32201.71649,20.27464227,0,0,0.013,9.529500169e-07,0.001574925155
521,-32201.82152,20.37966308,0,0.001,0.024,3.761873736e-06,0.00821175093
640,-32201.83012,20.38826289,0,0,0.01,6.450432845e-07,0.06368652475
787,-32201.83141,20.38955876,0,0,0.01,6.473680191e-07,0.06369650196
487,-32201.86805,20.42619805,0,0,0.022,2.735889215e-06,0.202014664
500,-32201.90928,20.46743211,0,0,0.024,2.940834943e-06,0.09789027364
501,-32201.9093,20.46744246,0,0,0.024,2.940832295e-06,0.09789105859
502,-32201.90934,20.46748874,0,0,0.024,2.940759432e-06,0.09789473963
